date,close
21-04-2018,604.87
22-04-2018,620.92
23-04-2018,645.09
24-04-2018,701.58
25-04-2018,618.0
26-04-2018,661.51
27-04-2018,643.46
28-04-2018,682.86
29-04-2018,690.85
30-04-2018,670.78
01-05-2018,672.0
02-05-2018,688.56
03-05-2018,779.0
04-05-2018,785.99
05-05-2018,819.5
06-05-2018,794.3
07-05-2018,752.49
08-05-2018,748.99
09-05-2018,751.75
10-05-2018,722.52
11-05-2018,676.96
12-05-2018,684.11
13-05-2018,729.08
14-05-2018,727.49
15-05-2018,704.91
16-05-2018,706.29
17-05-2018,667.62
18-05-2018,692.6
19-05-2018,697.0
20-05-2018,716.16
21-05-2018,696.7
22-05-2018,640.99
23-05-2018,577.19
24-05-2018,602.18
25-05-2018,585.55
26-05-2018,586.0
27-05-2018,570.4
28-05-2018,511.5
29-05-2018,567.36
30-05-2018,557.19
31-05-2018,577.81
01-06-2018,579.0
02-06-2018,590.85
03-06-2018,619.66
04-06-2018,591.02
05-06-2018,609.05
06-06-2018,607.4
07-06-2018,605.16
08-06-2018,598.68
09-06-2018,592.87
10-06-2018,524.11
11-06-2018,531.69
12-06-2018,493.0
13-06-2018,475.47
14-06-2018,519.29
15-06-2018,487.48
16-06-2018,496.74
17-06-2018,497.14
18-06-2018,517.95
19-06-2018,537.97
20-06-2018,536.49
21-06-2018,526.18
22-06-2018,462.09
23-06-2018,473.41
24-06-2018,454.41
25-06-2018,458.7
26-06-2018,429.34
27-06-2018,441.64
28-06-2018,420.22
29-06-2018,434.77
30-06-2018,454.09
01-07-2018,452.1
02-07-2018,476.25
03-07-2018,461.82
04-07-2018,467.38
05-07-2018,467.87
06-07-2018,470.47
07-07-2018,485.57
08-07-2018,486.77
09-07-2018,471.71
10-07-2018,432.48
11-07-2018,444.99
12-07-2018,431.14
13-07-2018,432.46
14-07-2018,433.19
15-07-2018,449.78
16-07-2018,478.49
17-07-2018,498.76
18-07-2018,479.41
19-07-2018,468.57
20-07-2018,449.04
21-07-2018,460.23
22-07-2018,457.47
23-07-2018,450.05
24-07-2018,479.28
25-07-2018,472.1
26-07-2018,462.64
27-07-2018,470.09
28-07-2018,469.29
29-07-2018,466.4
30-07-2018,456.23
31-07-2018,432.22
01-08-2018,420.41
02-08-2018,410.62
03-08-2018,417.52
04-08-2018,407.21
05-08-2018,408.79
06-08-2018,405.28
07-08-2018,378.21
08-08-2018,355.48
09-08-2018,363.3
10-08-2018,331.81
11-08-2018,317.69
12-08-2018,317.89
13-08-2018,283.81
14-08-2018,278.41
15-08-2018,281.12
16-08-2018,287.17
17-08-2018,317.51
18-08-2018,294.11
19-08-2018,299.42
20-08-2018,270.51
21-08-2018,281.21
22-08-2018,270.8
23-08-2018,275.99
24-08-2018,281.19
25-08-2018,277.55
26-08-2018,274.29
27-08-2018,287.71
28-08-2018,295.44
29-08-2018,288.4
30-08-2018,283.89
31-08-2018,281.41
01-09-2018,295.71
02-09-2018,295.41
03-09-2018,289.09
04-09-2018,285.3
05-09-2018,228.53
06-09-2018,229.7
07-09-2018,215.22
08-09-2018,196.71
09-09-2018,195.81
10-09-2018,197.15
11-09-2018,185.18
12-09-2018,183.12
13-09-2018,210.68
14-09-2018,208.82
15-09-2018,221.29
16-09-2018,220.17
17-09-2018,196.16
18-09-2018,208.17
19-09-2018,209.79
20-09-2018,224.0
21-09-2018,247.73
22-09-2018,241.01
23-09-2018,244.5
24-09-2018,228.06
25-09-2018,219.62
26-09-2018,214.42
27-09-2018,229.13
28-09-2018,221.84
29-09-2018,231.62
30-09-2018,232.94
01-10-2018,231.61
02-10-2018,225.69
03-10-2018,220.77
04-10-2018,222.66
05-10-2018,228.37
06-10-2018,225.4
07-10-2018,226.14
08-10-2018,230.01
09-10-2018,228.4
10-10-2018,226.74
11-10-2018,191.58
12-10-2018,196.96
13-10-2018,201.3
14-10-2018,197.01
15-10-2018,214.39
16-10-2018,215.09
17-10-2018,212.85
18-10-2018,206.24
19-10-2018,205.0
20-10-2018,207.91
21-10-2018,207.49
22-10-2018,206.67
23-10-2018,205.85
24-10-2018,205.35
25-10-2018,203.93
26-10-2018,204.92
27-10-2018,204.45
28-10-2018,204.99
29-10-2018,196.96
30-10-2018,197.27
31-10-2018,198.73
01-11-2018,199.96
02-11-2018,202.35
03-11-2018,200.31
04-11-2018,212.11
05-11-2018,210.66
06-11-2018,220.74
07-11-2018,219.07
08-11-2018,212.79
09-11-2018,210.77
10-11-2018,213.25
11-11-2018,212.54
12-11-2018,212.89
13-11-2018,209.84
14-11-2018,187.43
15-11-2018,184.35
16-11-2018,176.89
17-11-2018,176.2
18-11-2018,178.97
19-11-2018,150.81
20-11-2018,133.82
21-11-2018,138.23
22-11-2018,126.63
23-11-2018,125.02
24-11-2018,114.89
25-11-2018,118.67
26-11-2018,110.68
27-11-2018,111.43
28-11-2018,122.9
29-11-2018,117.98
30-11-2018,113.73
01-12-2018,118.1
02-12-2018,116.57
03-12-2018,108.76
04-12-2018,109.94
05-12-2018,102.71
06-12-2018,91.0
07-12-2018,93.05
08-12-2018,90.38
09-12-2018,93.26
10-12-2018,89.91
11-12-2018,87.76
12-12-2018,89.41
13-12-2018,86.34
14-12-2018,83.82
15-12-2018,83.76
16-12-2018,84.67
17-12-2018,94.02
18-12-2018,100.39
19-12-2018,98.74
20-12-2018,114.05
21-12-2018,107.69
22-12-2018,115.2
23-12-2018,129.03
24-12-2018,138.03
25-12-2018,127.6
26-12-2018,129.35
27-12-2018,113.8
28-12-2018,135.3
29-12-2018,132.89
30-12-2018,137.77
31-12-2018,131.45
01-01-2019,139.1
02-01-2019,152.01
03-01-2019,146.3
04-01-2019,151.97
