open;high;low;close;volume;marketCap;timestamp
606.1190185547;640.7670288086;593.8690185547;621.8599853516;2426269952;61556034015.4;"2018-04-22T00:00:00.000Z"
707.0620117188;707.0620117188;600.2119750977;615.416015625;4216140032;60955966710.5;"2018-04-25T00:00:00.000Z"
644.6459960938;691.4420166016;644.6459960938;683.6779785156;2496659968;67759208003.9;"2018-04-28T00:00:00.000Z"
670.4630126953;674.4030151367;637.5399780273;673.6129760742;2678960128;66803233984.4;"2018-05-01T00:00:00.000Z"
776.7750244141;803.7459716797;762.632019043;785.6240234375;3533410048;77960306235.7;"2018-05-04T00:00:00.000Z"
816.0880126953;835.0570068359;764.8829956055;792.3109741211;3105570048;78656662788.1;"2018-05-06T00:00:00.000Z"
752.9019775391;759.5289916992;718.4719848633;752.2750244141;2877870080;74728439729.9;"2018-05-09T00:00:00.000Z"
679.8770141602;691.4110107422;644.0659790039;686.0479736328;2668480000;68192028457.7;"2018-05-12T00:00:00.000Z"
731.1430053711;739.0520019531;700.9949951172;708.8709716797;2523069952;70504110200.8;"2018-05-15T00:00:00.000Z"
672.1019897461;695.0310058594;663.8090209961;694.3670043945;2305740032;69104455848.8;"2018-05-18T00:00:00.000Z"
717.1929931641;719.2780151367;692.4940185547;699.2219848633;2005170048;69631032596.2;"2018-05-21T00:00:00.000Z"
584.5360107422;610.8179931641;557.2059936523;601.7550048828;2791099904;59962094302;"2018-05-24T00:00:00.000Z"
588.5200195313;590.3280029297;562.866027832;572.6680297852;1788790016;57099072056.3;"2018-05-27T00:00:00.000Z"
566.8300170898;583.1359863281;545.4310302734;559.5900268555;2053970048;55829809816.9;"2018-05-30T00:00:00.000Z"
580.4290161133;597.0770263672;577.3220214844;591.8079833984;1880390016;59080880116.9;"2018-06-02T00:00:00.000Z"
593.4060058594;611.3300170898;580.9819946289;609.3029785156;1844269952;60864980394.9;"2018-06-05T00:00:00.000Z"
605.4429931641;608.8109741211;595.5930175781;601.0770263672;1637779968;60080608858;"2018-06-08T00:00:00.000Z"
524.8569946289;536.8579711914;515.2689819336;533.283996582;1982119936;53337466294.1;"2018-06-11T00:00:00.000Z"
498.0180053711;501.9049987793;459.0039978027;477.4939880371;2080130048;47777150787;"2018-06-13T00:00:00.000Z"
490.4140014648;503.2229919434;488.8510131836;499.641998291;1314109952;50024018701.1;"2018-06-16T00:00:00.000Z"
519.0230102539;542.3530273438;516.3120117188;537.9569702148;1726569984;53893191559.4;"2018-06-19T00:00:00.000Z"
527.1939697266;527.1939697266;456.8770141602;465.816986084;2226030080;46694859627.8;"2018-06-22T00:00:00.000Z"
455.9360046387;470.3439941406;448.8959960938;460.3099975586;4007950080;46171165113.8;"2018-06-25T00:00:00.000Z"
442.2900085449;443.6180114746;419.683013916;422.3649902344;1360790016;42391125054.3;"2018-06-28T00:00:00.000Z"
455.2420043945;457.1390075684;446.3850097656;453.9179992676;1511730048;45585861718.1;"2018-07-01T00:00:00.000Z"
464.1510009766;481.4360046387;455.1849975586;467.3179931641;1549769984;46960391870.5;"2018-07-04T00:00:00.000Z"
474.0570068359;491.6600036621;466.8359985352;491.6600036621;1358360064;49436674024.9;"2018-07-07T00:00:00.000Z"
476.1619873047;478.3179931641;433.9599914551;434.4240112305;1789069952;43708241775.1;"2018-07-10T00:00:00.000Z"
430.7409973145;442.3630065918;430.7409973145;434.0270080566;1489670016;43694988768.9;"2018-07-13T00:00:00.000Z"
450.424987793;480.657989502;446.7980041504;480.657989502;1858680064;48419026521.3;"2018-07-16T00:00:00.000Z"
480.6279907227;483.2399902344;465.141998291;469.6189880371;2068739968;47335899963;"2018-07-19T00:00:00.000Z"
450.6789855957;468.0830078125;445.7760009766;462.4360046387;1504310016;46630720739;"2018-07-21T00:00:00.000Z"
451.1359863281;481.141998291;450.5650024414;479.3729858398;2287520000;48368209917.3;"2018-07-24T00:00:00.000Z"
464.0090026855;473.2219848633;458.2909851074;469.6659851074;1734259968;47417755376.4;"2018-07-27T00:00:00.000Z"
466.827;467.952;448.641;457.081;2141590000;46175217427;"2018-07-30T00:00:00.000Z"
420.806;425.034;410.309;412.621;1569300000;41709183608.4;"2018-08-02T00:00:00.000Z"
407.346;413.716;402.432;410.516;1396820000;41521715110.2;"2018-08-05T00:00:00.000Z"
379.892;380.671;353.734;356.613;2016080000;36091566801.1;"2018-08-08T00:00:00.000Z"
334.264;334.264;308.488;322.112;1790370000;32619681420.3;"2018-08-11T00:00:00.000Z"
286.365;286.365;254.65;278.932;2137850000;28263969131.7;"2018-08-14T00:00:00.000Z"
287.683;316.17;287.346;315.729;1995460000;32011921282.7;"2018-08-17T00:00:00.000Z"
301.381;304.372;273.511;274.315;1413790000;27829775230.8;"2018-08-20T00:00:00.000Z"
271.748;279.546;271.09;277.104;1271160000;28129662664.2;"2018-08-23T00:00:00.000Z"
279.525;279.525;272.444;275.197;1206650000;27953028997.1;"2018-08-26T00:00:00.000Z"
286.649;297.4;283.572;296.499;1513350000;30128902936.5;"2018-08-28T00:00:00.000Z"
284.12;284.551;278.513;283.004;1411910000;28774922508.3;"2018-08-31T00:00:00.000Z"
295.181;295.591;287.432;289.259;1394490000;29428616901.4;"2018-09-03T00:00:00.000Z"
