date,cap
2021-02-20,1045371087640.23
2021-02-23,909925854460.21
2021-02-26,863752275053.08
2021-03-01,925235527882.27
2021-03-04,905414104807.24
2021-03-07,954880954584.64
2021-03-10,1044580057477.4
2021-03-13,1142369158666.94
2021-03-16,1059745818423.03
2021-03-19,1088666450746.46
2021-03-21,1073417235408.43
2021-03-24,984948142897.89
2021-03-27,1044814147411.6
2021-03-30,1099939890804.41
2021-04-02,1108813863082.86
2021-04-05,1102880790089.18
2021-04-08,1089334328138.76
2021-04-11,1124635848775.45
2021-04-14,1179061093980.42
2021-04-17,1133882479236.77
2021-04-20,1055323526514.09
2021-04-23,954919230091.93
2021-04-26,1009780042661.05
2021-04-28,1024888208734.36
2021-05-01,1081174515342.54
2021-05-04,997324142593.09
2021-05-07,1072727435210.46
2021-05-10,1044927337817.5
2021-05-13,930161010060.1
2021-05-16,869279076502.07
2021-05-19,692452570146.78
2021-05-22,702449253648.34
2021-05-25,718829377408.47
2021-05-28,668283930066.56
2021-05-31,698990486184.97
2021-06-03,734224332239.42
2021-06-05,665804639832.8
2021-06-08,626954944878.53
2021-06-11,699368729838.32
2021-06-14,753471062533.64
2021-06-17,713025631757.51
2021-06-20,668968868769.75
2021-06-23,632011278436.38
2021-06-26,603276028308.72
2021-06-29,672333423401.87
2021-07-02,635450784106.09
2021-07-05,632696207199.7
2021-07-08,616492852697.27
2021-07-11,642138104626.48
2021-07-13,613343664759.66
2021-07-16,589415807378.21
2021-07-19,578178147283.49
2021-07-22,606316858335.4
2021-07-25,663401935102.73
2021-07-28,750706646106.7
2021-07-31,781431379811.19
2021-08-03,716341544144.93
2021-08-06,804022903682.01
2021-08-09,870805373889.23
2021-08-12,834546790666.29
2021-08-15,883882942187.64
2021-08-18,841823296232.89
2021-08-20,927189789031.53
2021-08-23,931244272409.32
2021-08-26,882436522912.52
2021-08-29,918057300166.45
2021-09-01,918501510157.03
2021-09-04,939286123132.94
2021-09-07,880498621997.79
2021-09-10,844367023726.79
2021-09-13,845980481365.13
2021-09-16,899179151780.33
2021-09-19,889472404519.71
2021-09-22,820218503579.13
2021-09-24,806470363646.76
2021-09-27,795216175345.08
2021-09-30,824619217607.52
2021-10-03,907791525235.94
2021-10-06,1042827678808.09
2021-10-09,1035558748271.88
2021-10-12,1055926265435.37
2021-10-15,1160726409229.75
2021-10-18,1169039169042.88
2021-10-21,1172684282558.37
2021-10-24,1148743134467.63
2021-10-27,1102757767323.44
2021-10-30,1167178054166.51
2021-11-01,1150606762880.22
2021-11-04,1159231375022.08
2021-11-07,1194778776481.15
2021-11-10,1226431510692.86
2021-11-13,1216695126358.11
2021-11-16,1135559300073.25
2021-11-19,1097177697853.12
2021-11-22,1062772703759.45
2021-11-25,1081500188674.24
2021-11-28,1081180416261.97
2021-12-01,1080977744339.22
2021-12-04,929467386769.69
2021-12-07,957948940989.36
2021-12-09,900835068960.13
2021-12-12,946823114554.82
2021-12-15,924244252416.86
2021-12-18,885650029984.18
2021-12-21,925255868119.28
2021-12-24,961051547919.03
2021-12-27,957746390396.12
2021-12-30,892386327928.88
2022-01-02,895688387523.14
2022-01-05,824368284529.82
2022-01-08,789758782727.02
2022-01-11,808834801011.1
2022-01-14,815850639036.09
2022-01-16,816211499220.99
2022-01-19,790406427117.58
2022-01-22,663374008017.03
2022-01-25,699907393886.04
2022-01-28,715731622071.25
2022-01-31,729073641687.68
2022-02-03,704010232687.46
2022-02-06,803744511638.35
2022-02-09,840369284541.11
2022-02-12,800797790300.71
2022-02-15,845117683686.87
2022-02-18,759074084513.82
2022-02-21,703124071471.97
2022-02-23,707390766255.17
2022-02-26,741789694058.87
2022-03-01,841491170715.62
2022-03-04,742617908334.96
2022-03-07,722305696827.83
2022-03-10,748513363763.29
2022-03-13,718481905385.96
2022-03-16,781131586213.32
2022-03-19,801124017583.09
2022-03-22,804437952235.7
2022-03-25,842351457245.02
2022-03-28,895273041065.34
2022-03-31,865202119215.74
2022-04-02,871556728552.73
2022-04-05,865734982990.98
2022-04-08,803736501494.4
2022-04-11,751274786459.3
2022-04-14,759245303310.83
2022-04-17,755201997822.58
2022-04-20,786828424698.83
2022-04-23,751045477435.14
